description,genres
"Dive into a world of pulse-pounding suspense—this gripping collection of crime mysteries from nine bestselling and award-winning authors will keep you on the edge of your seat. Find out whodunnit in this compulsively readable collection for fans of L. T. Ryan, J. M. Dalgliesh, and Karin Slaughter.

The Clockmaker's Secret (Jack Benton)

After discovering a buried, still-ticking clock, private eye Slim Hardy excavates the secrets of a small Cornish village. Why did a local clockmaker vanish decades ago — and who has been hiding the truth all these years?

The Clandestine Coroner (Paul Austin Ardoin)

A secret society. A missing body. A town torn in two. When a member of a secret society is found dead in the local temple, Coroner Fenway Stevenson finds herself embroiled in an underground world where no one plays by the rules. Can Fenway find allies to uncover the truth before the killer gets away?

A Scrap of Silk (Virginia King)

A surprise inheritance. A locked cellar. A shocking secret from her family's past. Mystery author Tiggy Jones inherits an old boathouse in Devon, only to discover cryptic clues pointing to a buried family secret. And someone doesn't want her digging… ""A deliciously witty and ingenious mystery."" (Patricia U. Netgalley reviewer)

The Dead Don't Dream (Meghan O'Flynn)

A night to remember… if you make it out alive. Psychologist Maggie Connolly's new patient claims to have sleepwalking episodes — but are they merely a convenient alibi for a murder spree? Maggie must decide whether her sleepwalking patient is a victim or a brutal serial killer in this unpredictable psychological thriller.

Gluten-Free Murder (P. D. Workman)

Erin moves to the small town of Eagle Falls to take over her late aunt's bakery, but the grand opening turns sour when her business rival is killed — and Erin becomes the prime suspect! Can she solve the peculiar case before it's too late? ""Great mystery, good character development and intrigue. Suspense near the end was tops!""

The Girls Across the Bay (Emerald O'Brien)

Sisters with a bond stronger than blood. A dark connection to their past that could destroy them. After a woman is killed in their small town, reporter Madigan covers the crime while her detective sister, Grace, investigates. But when they stumble upon a dark personal tie to the victim, the pair must confront secrets buried in their past…

Mirror of Lies (Ava S. King)

Jessica and Alison vowed to take a chilling secret to their graves. But fifteen years later, in the wake of Alison's tragic death, Jessica realizes that the things they desperately tried to hide might not have died with her friend. What happens when secrets refuse to stay buried?

Hong Kong Dangerous (Tom Fowler)

The best detectives aren't born. They're forged in the fires of their own mistakes. Before he can become a PI In Baltimore, C.T Ferguson must survive in a Hong Kong prison. And nothing there is as it seems… Don't miss this addictively gritty and mysterious thrill ride!

Fleeting Glimpse (Victoria M. Patton)

Somebody wants more than to be Chandra's biggest fan. Someone wants her dead. Chandra Willis thought fame was her ticket to success, until an adoring fan's infatuation turns deadly. As gifts turn sinister and threats escalate, Chandra must unmask her stalker before her biggest fan becomes her executioner…","84, 26, 165, 162, 160, 33, 86, 158"
"In a world where the boundary between reality and dreams is fragile, a man is gifted—or perhaps cursed—with the extraordinary ability to dream the future. His nights are filled with visions of events yet to unfold, an enigmatic tapestry of the days to come. But one night, his dream is darker than ever before. He sees his father, the one constant and guiding figure in his tumultuous life, brutally murdered. Waking up drenched in sweat, he realizes this isn't just a figment of his imagination—it's a prophecy he is powerless to stop.

Driven by a potent mix of grief and vengeance, he embarks on a relentless quest to uncover the identity of his father's killer. Each dream offers cryptic clues, piecing together fragments of the mysterious figure behind the murder. However, these visions are elusive, often slipping away like sand through his fingers, leaving him to grapple with the blurred lines between truth and illusion.

His journey takes him through the shadowy underbelly of the city, a place where secrets are currency and betrayal is a constant companion. As he navigates this labyrinth of lies, he must also contend with the psychological toll of his powers. The more he uses his abilities, the more he questions his own sanity. Can he trust his visions, or are they being manipulated by forces beyond his understanding? The line between ally and enemy becomes increasingly blurred, and he must rely on his instincts to survive.","84, 33, 86, 186"
"The relentless ticking of the clock echoed through the tense silence as four elite Special Forces teams raced against time to locate and rescue a highly valuable prisoner of war. Captain James Rodriguez of Team Alpha gripped the stock of his assault rifle, sweat beading on his brow as his squad hacked through the dense jungle undergrowth. Their target: an underground bunker where the POW was rumored to be held. 

Miles away, Lieutenant Emily Thompson led Team Bravo up the treacherous mountain peaks, her ice axe biting into the frozen rock as they closed in on a remote enemy stronghold. Using advanced thermal imaging, they scouted for signs of the captive, the biting winds whipping their combat gear.

In the blistering desert expanse, Sergeant Miguel Ramirez rallied Team Charlie, their tan combat fatigues blending with the golden sands. Intelligence suggested the prisoner was inside a fortified compound, its walls lined with hostile forces ready to unleash hell. 

And near the pounding surf, Major David Reynolds commanded Team Delta, expertly slipping past the perimeter guards of a coastal enemy camp. Their night vision goggles scanned the shadows as they searched building by building for the captured soldier.

The teams' radios crackled with encrypted updates - the POW was a high-value target, a Special Operations officer captured during a botched raid. He possessed critical intel that could shift the tides of the covert war they waged. Failure was not an option.

Adrenaline spiked as Team Alpha discovered a camouflaged entrance to the underground lair. With weapons raised, they descended into the blackness, following a maze of damp corridors to a heavy steel door. Explosive breaches blew it open, and they stormed the chamber - only to find it empty, save for bloodstains on the concrete floor.

Simultaneously, Team Bravo rappelled over the high walls of the mountain stronghold. Silenced gunfire and hand-to-hand combat ensued as they fought through the heavily guarded facility. But the prisoner had been moved, the cell empty and abandoned.

The desert sun seared as Team Charlie traded bullets with the enemy forces guarding the compound's entrance. Grenades detonated, shrapnel whizzing through the haze as they pushed forward with grim determination. Yet their target remained elusive.

It was Team Delta who finally struck gold. As they infiltrated the coastal encampment, night vision revealed a makeshift cell - and inside, the battered but alive POW. They swiftly cut him free and fought their way out under withering enemy fire. 

As the smoke cleared, the daring rescue was an against-all-odds success. But it had come at a steep cost - two team members critically wounded, the others bearing scars of the brutal battle. The POW himself was in dire condition from weeks of torture and interrogation.

On the long flight back to base, the grim-faced operators remained on high alert, knowing the enemy would soon be in pursuit. Captain Rodriguez looked at the faces of his brothers and sisters in arms and saw the strength that had carried them through hell. 

Once back on friendly soil, a grim debriefing followed as military intelligence hastily extracted the sensitive information from the liberated POW. The news was worse than anyone could have imagined - the enemy had a terrifying new bioweapon in development, one with the power to devastate the nation.","84, 1, 33, 86, 190"
"A los doce años, Nicholas Goering sobrevivió milagrosamente a un disparo en la cabeza perpetrado por su propio padre, después de que este matara a su madre y se suicidara sin motivo aparente.
Veinticinco años más tarde, ahora convertido en un referente de la Patología Forense en el prestigioso hospital de la ciudad sajona de Heimstadt, el misántropo doctor tendrá que lidiar con el caso más extraño de su carrera: el cuerpo de su padre ha aparecido en perfecto estado de conservación colgado como en el día de su muerte y le han colocado los órganos internos de distintas personas. El recientemente ascendido y temperamental detective Matías Vandergelb, quien desprecia al patólogo, y la ambiciosa psiquiatra Angélica Grunnewald, quien, por el contrario, está obsesionada con él, serán también los encargados de intentar resolver el rompecabezas humano en una carrera contrarreloj.
Los viles asesinatos no se harán esperar y, poco a poco, se irán destapando las heterodoxas y oscuras prácticas que llevaron al hospital y a la propia ciudad a ser los más prósperos del país.
Schopenhauerland es la segunda entrega de la serie del thriller psicológico de Max Kroennen. 
Nota: se debe leer la primera entrega para comprender esta historia.","84, 33, 188, 189"
"A los doce años, Nicholas Goering sobrevivió milagrosamente a un disparo en la cabeza perpetrado por su propio padre, después de que este matara a su madre y se suicidara sin motivo aparente.
Veinticinco años más tarde, ahora convertido en un referente de la Patología Forense en el prestigioso hospital de la ciudad sajona de Heimstadt, el misántropo doctor tendrá que lidiar con el caso más extraño de su carrera: el cuerpo de su padre ha aparecido en perfecto estado de conservación colgado como en el día de su muerte y le han colocado los órganos internos de distintas personas.
El recientemente ascendido y temperamental detective Matías Vandergelb, quien desprecia al patólogo, y la ambiciosa psiquiatra Angélica Grunnewald, quien, por el contrario, está obsesionada con él, serán los encargados de intentar resolver el rompecabezas humano en una carrera contrarreloj.
Memento Mori es la primera entrega de la trilogía","84, 33, 188"
"Author Rick Mofina’s novels have been praised by:
James Patterson · Dean Koontz · Michael Connelly · Lee Child · Tess Gerritsen · Jeffery Deaver · Louise Penny · Sandra Brown · James Rollins · Brad Thor · Linwood Barclay · Lisa Unger

Book #1 in the Ray Wyatt trilogy:
INTO THE FIRE, introduces Ray Wyatt, a veteran reporter grappling with the tragic loss of his wife and son while searching for answers in the crime stories he covers.

Hikers find a traumatized boy wandering in a remote corner of New York's Adirondack Mountains. Retracing his steps to a cabin, they make a terrifying discovery that leads to an investigation entangling crime reporter Ray Wyatt and FBI Special Agent Jill McDade.

Wyatt is dispatched to cover the disturbing case, while still haunted by the loss of his son and wife years earlier.

McDade and Wyatt race the clock to learn the truth behind one of the most unconscionable crimes in the history of Upstate New York. At the same time, they grapple with the dawning horror that the monstrous event is linked to them.

""Rick Mofina's books are edge-of-your seat thrilling. Page turners that don't let up.""—Louise Penny, #1 New York Times bestselling author

""A blood pact, a horrific crime, and a lifetime of secret and lies come back to haunt in this layered, engrossing thriller. Their Last Secret is Rick Mofina at his edge-of-your-seat, can't-stop-turning-the-pages best as he dives deep into questions of truth, justice, and ultimately redemption. A riveting, moving read.""—Lisa Unger, New York Times bestelling author of Confessions on the 7:45

""Well-developed characters and an intense pace add to this gripping novel. This latest from a gifted storyteller should not be missing from your reading pile.""—Library Journal, starred review, on Missing Daughter

""A pulse-pounding nail-biter.""—The Big Thrill on Last Seen

""Six Seconds should be Rick Mofina's breakout thriller. It moves like a tornado.""—James Patterson, New York Times bestselling author

""Six Seconds is a great read. Echoing Ludlum and Forsythe, author Mofina has penned a big, solid international thriller that grabs your gut—and your heart—in the opening scenes and never lets go.""—Jeffery Deaver, New York Times bestselling author

""The Panic Zone is a headlong rush toward Armageddon. Its brisk pace and tight focus remind me of early Michael Crichton.""—Dean Koontz, #1 New York Times bestselling author

""Rick Mofina's tense, taut writing makes every thriller he writes an adrenaline-packed ride.""—Tess Gerritsen, New York Times bestselling author

""Mofina's clipped prose reads like short bursts of gunfire.""—Publishers Weekly on No Way Back

""Vengeance Road is a thriller with no speed limit! It's a great read!""—Michael Connelly, New York Times bestselling author

USA TODAY BESTSELLING AUTHOR RICK MOFINA is a former journalist who has interviewed murderers on death row, flown over Los Angeles with the LAPD and patrolled with the Royal Canadian Mounted Police near the Arctic. He has also reported from the Caribbean, Africa, Kuwait and Qatar. He has written more than 30 crime fiction thrillers that have been published in nearly 30 countries. He is a two-time winner of The Crime Writers of Award of Excellence; a Barry Award winner; a four-time Thriller Award finalist and a two-time Shamus Award finalist.

Library Journal calls him “One of the best thriller writers in the business.”
For more information visit www.rickmofina.com.","84, 33, 86, 188"
"Within the stark walls of Crowmont Hospital, every patient has a story, and every crime becomes a deeper mystery.

Psychiatric nurse Leah Smith's newest patient is Isabel Fielding, a young woman convicted as a teen for the gruesome murder of a child.

However, as Leah observes Isabel's gentle nature, she questions the girl's guilt and suspects that the real murderer might be hidden within the Fielding family. Leah isn't alone in her suspicions - renowned true crime blogger James Gorden also believes in Isabel's innocence.

As Leah grows emotionally attached to her patient, her professional stance begins to falter. She becomes obsessed with proving Isabel's innocence. But are her suspicions a product of her own dark past?

And is she prepared to put her life at risk to find out?

From the New York Times bestselling author of Silent Child, this psychological thriller series is not one to miss.

Praise for the Isabel Fielding series:

""I can't praise this book enough...it was one of the best books I've read this year!""

""Without giving too much away the characters had me fooled! Nothing is what it seems, you need to keep reading ... just one more chapter...""

""One For Sorrow is such a fabulously dark and twisted read. I knew from the opening pages it was going to be good but by heck I didn't forsee the twists and turns as they happened. It's one of those stories that you will be constantly second-guessing and jumping at conclusions only to be totally wrong.""

""This dark, twisty psychological thriller was totally riveting.""","84, 33, 86, 186, 189"
"While Malcolm Hyde may look like your very own personal Jesus, he's anything but a saint. Covered in tattoos and leather, he's a smoking hot biker and nothing but trouble.

As the president of the Dirty Aces MC, Malcolm is known for being cold and calculating. One bad decision – getting into business with the wrong person – is all it takes to bring down the entire MC. It's happened before to his predecessor, which is why Malcolm refuses to let it happen again on his watch. He doesn't trust anyone except for the few men who wear the same ace of spades patch on their back.

And that's exactly why he doesn't ever take his eyes off of me – the new girl. I never intended to make an enemy out of Malcolm or the MC when I was sent to steal everything I could from them.

After Malcolm finds out what I've been doing, he's furious and shows no mercy until I spill all of my secrets, ones that could very well end my life. That's when he makes me a surprising offer – he's willing to take care of all of my problems, and the only thing he's asking for in return is for me to completely surrender myself to him.

Spending two weeks in bed with a bad boy biker sounds more like a reward than a punishment.

There's just one little catch – once he claims my body, there's no guarantee he won't steal my heart too.","84, 29, 33, 86, 186"
"Caroline has spent years fighting for justice in her high-stakes criminal defence practice, but the strain is wearing her down.

When a tantalising chance to earn a quick fortune arises, she is drawn into a perilous game that challenges her moral boundaries.

Teaming up with her enigmatic client, Robert, Caroline finds herself at a dangerous crossroads. As they navigate a murky world filled with risk and uncertainty, she must decide if she's willing to blur the lines of the law. With her beloved dog, Harley, by her side, will she succumb to the lure of easy money, or will she stay true to her principles in the face of overwhelming temptation to step into the dark side?","84, 33, 86, 189"
"Based on the experiences had by the author, Wine Head follows Dylan Graves as he navigates life and goes from job to job. Based on the true experiences the author had in real life.","84, 34"
"The Jackson Moores have been tilling the land of Hope House Farm on the West Coast of Cumbria for many generations, but they have been harbouring a dangerous history of dark and sinister secrets for far longer: cancerous secrets, that have slowly eaten away at their family, their sanity and their very existence.

Nemesis comes in the shape of P.C. James Henderson, when he first spies Danny - youngest son of the family - on his way to commit a crime - or at least to conceal one. This pivotal moment sets Henderson on a doomed road of infatuation and addiction, ending in ruin and, ultimately, death. For Danny is no ordinary boy and he belongs to no ordinary family.

Until now, the Jackson Moores have managed to keep their skeletons firmly inside the closet, but when Henderson unwittingly uncovers their twisted House of Usher, the whole rotten construct starts to sink into the mire, dragging everyone with it in a spectacular display of ruthless revenge.

DANNY is an obsessional romance from the dark side, a modern Wuthering Height","84, 34"
"The Jackson Moores have been tilling the land of Hope House Farm on the West Coast of Cumbria for many generations, but they have been harbouring a dangerous history of dark and sinister secrets for far longer: cancerous secrets, that have slowly eaten away at their family, their sanity and their very existence.

Nemesis comes in the shape of P.C. James Henderson, when he first spies Danny - youngest son of the family - on his way to commit a crime - or at least to conceal one. This pivotal moment sets Henderson on a doomed road of infatuation and addiction, ending in ruin and, ultimately, death. For Danny is no ordinary boy and he belongs to no ordinary family.

Until now, the Jackson Moores have managed to keep their skeletons firmly inside the closet, but when Henderson unwittingly uncovers their twisted House of Usher, the whole rotten construct starts to sink into the mire, dragging everyone with it in a spectacular display of ruthless revenge.

DANNY is an adult romance from the dark side, a modern Wuthering Heights.","84, 34"
This story is about a man being forced by his mother-in-law to re-marry his wife in a gender roile reversed setting where he becomes the wife and she becomes the husband.  this story is also called Marriage Refresh.,"84, 34, 29, 86"
"Winner of both the Hawthornden Prize and the James Tate Black Prize for Fiction, David Garnett's Lady Into Fox is the story of a man whose wife is turned into a fox. Need we say more? “At last, at last, the Hawthornden has chosen the right book.” – Virginia Woolf 

“The whole psychology of man and beast is, I should say, flawless, in essence and exposition.” – Joseph Conrad “It is as astonishing as a new sort of animal…suddenly running about in the world…as whimsically inevitable as a very healthy kitten. It shows up most other stories as the clockwork beasts they are.” – H.G. Wells, The Adelphi 

“It is one of the strangest little fictions in the English language. … Garnett's novella has attracted numerous readings: a political allegory about marriage, a fable about female sexuality, a coded love letter to Garnett's former lover, the painter Duncan Grant.” – Judith Mackrell, The Guardian 

“The story of Lady Into Fox is gripping and terrible…. What I love best about this story is its straight-faced, ever so slightly sly prose… The author uses humor, fantasy, allegory and realism to explore to explore pain, passion, conjugal fidelity, love, death and the whole damn thing.” – Andrew Barrow, Independent 

“Garnett’s story intimates that the sexual relation rests on the delusion that kin can be converted into kind. If the fable also applies to same-sex love (and I think it does), then perhaps Garnett’s point is darker still: every kind attempt we make to “claim kin” with one another is a sort of violence. Wild we begin toward one another—at day’s end, wild we remain.” – Maud Ellmann, Public Books

Watersgreen House is an independent international book publisher with editorial staff in the UK and USA. One of our aims at Watersgreen House is to showcase same-sex affection in works by important gay and bisexual authors in ways which were not possible at the time the books were originally published. We also publish nonfiction, including textbooks, as well as contemporary fiction that is literary, unusual, and provocative.  watersgreen.wix.com/watersgreenhouse","84, 34, 14, 121"
"A different guard came and collected him, brought him to the same officer that had watched him beaten the night before. Erich sat in the same chair, already shaking. 
	
""Well, we've done what we can. You're to go to a labor camp."" A glance at the files. ""You've got several skills listed here, I'm sure something will be found. You'll be out in two years if you behave yourself.""
	
Camp scared him quite a lot, and two years sounded endless when he tried to think of the entire span between Christmases, twice. 	

Still, work didn't sound so very terrible. 
	
He could still sew anything put in front of him, and set type without errors as fast as 
	
(Emil)
	
anyone at the shop, really.
	
Emil had been the mistake. All he had to do was make sure he never made another. Maybe it would be all right. He would just do as he'd planned, as he'd always done. Be polite and obedient—and he wouldn't think about how long it was. He would think of it as a trade up from hanging. 
	
The guard uncuffed him. 

He signed things he wasn't invited to read.","84, 22, 146, 34"
"The Shinobi Saga tells the story of modern day ninja Yoshi, shadow wolf of the Takahashi clan. In a nation where conformity is prized, he is an anomaly. A beautiful and deadly albino, prized for his exotic looks as much as his skills in the shinobi arts. From a young age he finds himself shackled by the bonds of duty, forced into play as a sexual bargaining chip for the welfare of his shuudan.

Will love be sacrificed when duty and honor rule all? 

The life of a shinobi is, at its best, a selfless devotion to duty. In modern day Japan, the ninja legends live on in a grim saga of political maneuverings, betrayal, sexual abuse, torture and homoeroticism. 

The Shinobi clans lurk in the shadows, performing services that not even the hardened Yakuza will touch. Takahashi Yoshi fulfills his duty with soul-stripping resolve, each assignment driving a nail into a coffin of lost faith. After years of sexual abuse and torture in the name of clan honor, Yoshi must learn to trust, but the man who offers him hope is himself flawed. 

Sasaki Makoto has spent a career in torture and interrogation, exploring not only the dark secrets of his clan's enemies, but also the darkness within his own heart. 

How far must Yoshi run to escape his shame and torment? And what price freedom when fear and self-loathing threaten to upend the hard fought struggle to find meaning and safety in a world fraught with danger. 

Yoshi seeks time and space, only to find himself once more at the mercy of power mongers and despots. When Makoto finds him, Yoshi is broken in more than body. Near death, his spirit recedes to find safety within, locking out all who care. 

They say time will heal but the path to acceptance is never easy, the roadblocks many, and none will emerge unscathed as Yoshi embarks on a struggle for balance.

Shinobi is transgressive M/M literary fiction. It utilizes adult language and adult situations. It depicts violence, explicit sex and disturbing scenes/images. If you are offended by male/male eroticism, sexual situations, depiction of BDSM elements, and strong language you might not enjoy this work.

PLEASE NOTE this is a title change from the original title of Shadow Wolf. There have been no content changes.","84, 22, 146, 34"
"Jealous angels with no genitals discover the passion and ecstasy that humans experience through sex. In revenge, the frustrated but impotent celestial beings banish the men to the wilderness. Will the women save the human race, or will they become the mothers of great evil?","84, 14, 119, 34"
"Ava Myers finds herself torn between the comfortable love she shares with Ethan and the fiery passion reignited by a chance encounter with her long-lost love, James. As memories of their turbulent past resurface, Ava is thrust into a whirlwind of emotions, struggling to choose between the safe haven she's built with Ethan and the electrifying allure of a second chance with James. With her heart divided, Ava must confront her deepest desires and make a life-altering decision that could shatter everything she's ever known.  ""Ava Myers has spent years trying to suppress the dissatisfaction that simmers beneath the surface of her seemingly perfect marriage to Ethan. The absence of passion leaves her yearning for more—a connection that transcends routine and sparks the fire that once consumed them both. When a chance encounter reunites Ava with James, a former lover from her past, old feelings resurface, causing her carefully curated world to unravel. Torn between the security of her marriage and a love she thought she had lost, Ava must confront her deepest desires and make a choice that could forever change the course of her life.","84, 29, 34"
"After witnessing a horrific crime and losing her best friend, Eve needs detective Dane to get home safely. But something about being held up in a motel room doesn't feel right to Eve in ""Witness."" In ""Elevated Marriage and Holiday Competition,"" a naturally pessimistic husband, Frank, struggles in awkward situations to please his wife. Celeste is a scientist for the council that rules her home planet in ""Terrestrial Twin Trepidation."" When she makes a discovery, she must escape the ship before Aries captures and exposes the information.","84, 34"
"This story is about three friends growing up in the city of brotherly love. As you read this story, you will get a glimpse into the life of one of the three friends. You will see how one bad choice can change someone's life. Trey is picked up by an unexpected person from his past, little did he know, that this ride will change his life in so many ways, for the good and bad. But along the way, he will learn that the outside world is no different than jail, no one has morals and principles!","84, 35, 33, 86"
"A sexy, heartfelt friends-to-lovers romance with all the feels.

""Highly Recommended…so refreshing to see people work through their issues and come out on the other side."" - BookRiot

They were friends—just friends. Now they're something else entirely…

Jason

Maggie was my best friend's girl. When he died…I wasn't sure we'd get through it.

But we healed. Together. Maggie became my friend, my confidant, and my family. She's everything to me.

And I ruined it all last night.

One drunken night. That's all it took. Now I'm lost.

She deserves someone better than me.

Now, if I can't figure out how to go back to the way things were, I'll lose the most important relationship I have. The only one that truly matters.

Maggie

Last night, we shared tequila. I found myself hoping like I always do.

I'd replay last night a thousand times if I could. It's the morning after that needs erasing.

Our problem? His love for me isn't the more kind of love. He's made that abundantly clear. And that's okay. Some part of me knows Jason will always see me as his best friend's girl. 

I can't lose our friendship. If he wants to stay in the friend zone, I need to accept that. Move on. Rationally, I know this.

But convincing my heart…well, that's another story entirely.

**Originally titled Lost on the Way**

Forgetting Him is a standalone contemporary romance novel and the fourth novel in The West Side Series, a steamy contemporary romance series full of brooding, protective men and the strong women they fall for while living the single life in the city that never sleeps.","84, 35, 38, 192, 29, 86, 112"
"Dans un monde où les attentes sociales dictent le mariage, la famille et la routine quotidienne, un homme ose tout défier. ""L'homme qui a décidé d´abandonner l'amour"" raconte l'histoire d'un non-conformiste qui, au lieu de succomber à la vie conventionnelle, choisit de se lancer dans une quête incessante d'un sens plus grand.

Ce protagoniste rejette l'idée que le bonheur se trouve dans la stabilité du foyer ou dans le respect des normes sociales. Armé d'une fortune considérable et d'un désir insatiable de vivre intensément, il voyage à travers le monde, se plongeant dans des plaisirs hédonistes et entouré de jeunes femmes fascinantes. Sa vie est un carnaval de liberté, d'aventures et de divertissement, une célébration constante de l'indépendance.

Sans engagements, sans attaches, sans la monotonie d'une vie conventionnelle, il devient le témoin de la diversité du monde, trouvant dans chaque recoin de nouvelles expériences qui défient sa compréhension de l'amour, du désir et du but. À travers son voyage, il se réaffirme dans sa décision de renoncer à la vie que d'autres considèrent ""normale"", convaincu que son chemin est le seul qui le conduira à la véritable plénitude.

Ce livre est une invitation à remettre en question les normes, à chercher au-delà de l'établi et à vivre une vie qui soit véritablement la nôtre, sans céder aux attentes des autres.","84, 24, 35, 36"
"Rochelle grew up in the hard streets of Richmond, Virginia, where dreams are broken as easily as promises. Raised in the projects by a single mother struggling to make ends meet, Rochelle's life has been a constant battle for survival. But she's tough, street-smart, and determined to rise above it all.

Enter Josh, the neighborhood's high school basketball star with a promising future. Josh is Rochelle's next-door neighbor and has always had a thing for her. After relentless flirting, Rochelle finally gives him a chance, and they quickly become the power couple of the hood. But with Josh's rising fame comes temptation—women, money, and the dark side of ambition.

As Josh gets tangled in a web of infidelity and lies, Rochelle finds herself spiraling into a world of jealousy and violence. Their passionate relationship turns volatile, culminating in a brutal fight that leaves Josh with a career-ending injury and Rochelle facing the devastating loss of their unborn child. Alone in the hospital, Rochelle must grapple with betrayal, loss, and the harsh realities of ghetto life.

While Josh's dreams shatter and he spirals into regret, Rochelle begins to rebuild her life, seeking redemption and forging a new path. But the streets never forget, and the community is quick to judge, making it harder for her to move on. As she rises, helping others avoid her mistakes and finding strength in herself, Josh fights his own demons, trying to earn back the respect he's lost.

The championship game becomes a symbol of hope, drawing the community together and offering a chance for new beginnings. Josh watches from the sidelines, reflecting on what could have been, while Rochelle finds closure and purpose, determined to never let the streets define her.

In a world where loyalty is tested and redemption is hard-earned, *Championship Bad* takes you on a gripping journey through love, betrayal, and the unyielding fight for a better life. This is a story of survival and resilience, where every choice has consequences, and the streets are always watching. Can Rochelle and Josh find their way out, or will the streets pull them back into the darkness? The answer lies in the heart-pounding pages of this urban drama, where every chapter leaves you on the edge of your seat, hungry for more.","84, 35, 38, 192, 10, 2, 90, 91"
"My innocence for his sick retribution.

Isabella

That's what Salvatore Costa, mafia underboss and now my kidnapper, demands from me. I tell him to go to hell. I hate his guts, and yet, my body betrays me and my mind won't stop thinking dirty thoughts about him. It doesn't mean I won't try to escape…after I kill him.

Salvatore

I need to avenge my sister's forced marriage to my enemy, Ethan Agostino. Turns out his sister, Isabella, is the perfect sacrifice. She will submit to me and become a slave to my every dark desire. I just have to ensure my heart never rules my head. Because in my world, love equates to weakness, and nothing will stop me from becoming the next Costa Don.","84, 35, 29, 112, 32, 138"
"Was trägt der Schotte unterm Kilt?

Ian Stewart wagt einen Neuanfang in San Francisco. Der sexy Erbe einer schottischen Anwalts-Dynastie ist nicht nur ein Workaholic, sondern hat eine ausgeprägte Schwäche für Oldtimer, Single Malts und Outdoor-Yoga. Die ersten Begegnungen mit Fotografin Luci hauen ihn buchstäblich um – auch dank des umwerfenden Charmes ihres riesigen Bloodhounds Drake.
Luci findet den smarten Anwalt zwar auch ziemlich heiß, doch glaubt sie nicht an eine gemeinsame Zukunft. Kann Ian sie davon überzeugen, dass Geld nicht zwangsläufig ein Charakterfehler ist und Hundesabber im Vintage-Porsche für ihn total in Ordnung geht?

Herzerwärmend, voller Humor und heiß, heiß, HEISS!

Ein Kurzroman über 180 Normseiten.

Leseprobe:
Es dauerte ungefähr fünf weitere Minuten, die sich wie eine Ewigkeit anfühlte, ehe endlich eine Reaktion kam: Ihr Telefon klingelte – ein Videoanruf von Ian. Kurz zögerte sie, ob sie darauf eingehen sollte, dann sprang sie wieder in ihr Bett, zog das Laken bis zum Hals und nahm das Gespräch an.
»Du hast wirklich einen sehr schrägen Sinn für Humor«, begann er ohne Vorgeplänkel und lachte übers ganze Gesicht. Luci liebte das Blitzen in seinen grünen Augen – und er hatte den Tag ganz offensichtlich in der Sonne verbracht, denn er hatte ordentlich Farbe abbekommen.
»Wieso?«, fragte sie betont unschuldig. »Nachdem du auf mein erstes Bild nicht reagiert hast, dachte ich, ich muss wohl einen Gang hochschalten und da Drake und du ja eine ganz besondere Verbindung miteinander habt, dachte ich ...«
»Dein erstes Bild ist der Wahnsinn – nur ein bisschen uneindeutig.«
»Du findest meinen Busen also uneindeutig?« Sie hatte ein Selfie von ihrem Oberkörper gemacht, ihm aber nur einen Makro-Ausschnitt davon geschickt. Darauf zu sehen war lediglich ein Hauch roter Spitze und ein wenig Haut. »Ich glaube, ich bin jetzt etwas beleidigt.« Sie zog einen Schmollmund.
»Dafür gibt's keinen Grund, es ist ein absolut fantastisches Foto – vor allem jetzt, wo ich weiß, was es zeigen soll.« Er zwinkerte ihr zu. »Aber dir ist schon klar, dass ich ein Mann bin und als solcher eher simpel gestrickt, nicht wahr? Insofern wäre etwas weniger Vergrößerung prima gewesen.«
»Du bist ein Mann und stehst auf ›etwas weniger Großes‹? Das finde ich jetzt schon ein wenig erschreckend ...« Sie sah ihn mit einem gespielt schockierten Gesichtsausdruck an. »Da habe ich mich wohl gewaltig in dir getäuscht.«","84, 35, 29, 112"
"Kimberly Burns— a self-sufficient, nineteen-year-old— expects her customary camping trip to be a calming escape from the non-stop demands of college life but the attack from a recently turned vampire changes everything.

Aaron Calem has been trying to resist the blood lust raging through his new body, but the unfamiliar voice in his head won't let him pass up an easy meal.When he's left with a girl barely clinging to life, he must choose between loyalty to his brothers or his own morality.

Aaron and Kimberly both want to return back to their normal lives, but their problems are just beginning when they both realize they go to the same university.

When Kimberly is bitten a second time, by an unknown attacker, they must team up to navigate the vampire world together and find the assailant. Soon, they discover that the mysterious past Aaron's brothers are hiding may hold the key to secrets that could tear apart their own pasts and destroy their future.

S.L.Cokeley's debut novel, This Blood that Binds Us, is the first in a series that explores the true meaning of family, making peace with the past, and finding friendships in unexpected places.","84, 35, 14, 112, 121, 29, 14, 19, 140"
